JokeyAdi,KosuAdet,derece1,derece2,derece3,derece4,derece5,derece1yuzde,derece2yuzde,derece3yuzde,derece4yuzde,derece5yuzde
JAVIER JOSE CASTELLANO,8,1,1,1,1,3,12,12,12,12,38
ROJHAT KURT (Y1)&nbsp;,35,1,0,0,1,2,3,0,0,3,6
THIERRY JARNET,2,0,2,0,0,0,0,100,0,0,0
JEAN-CLAUDE DETTORI,10,0,1,1,0,0,0,10,10,0,0
NORBERT JEANPIERRE,1,0,1,0,0,0,0,100,0,0,0
JEAN LUIS MARTINEZ,1,0,0,1,0,0,0,0,100,0,0
JOHN EGAN,2,0,0,0,0,0,0,0,0,0,0
JOHN MURTAGH,4,0,0,0,1,1,0,0,0,25,25
EMİLY JONES,2,0,0,0,0,1,0,0,0,0,50
METTE KJELSLİ,3,0,2,1,0,0,0,67,33,0,0
JEAN PIERRE CARVALHO,1,0,0,0,0,0,0,0,0,0,0
JENNIE ÖSTERBERG,1,0,0,0,0,0,0,0,0,0,0
JIM CROWLEY,1,0,0,0,0,1,0,0,0,0,100
JADEY PIETRASIEWICZ,2,0,0,1,0,0,0,0,50,0,0
RUTH JEFFERSON,3,0,0,0,0,1,0,0,0,0,33
JIRI PALIK,1,0,0,0,0,1,0,0,0,0,100
AHMED AJTEBI,3,0,1,1,0,0,0,33,33,0,0
JAMES JOSEPH FORTUNE,1,0,1,0,0,0,0,100,0,0,0
JULIEN GROSJEAN,1,0,0,0,1,0,0,0,0,100,0
JESSICA MARCIALIS,4,0,0,1,1,2,0,0,25,25,50
JIMMY FORTUNE,1,0,0,0,1,0,0,0,0,100,0
V.JAKOVJEV,1,0,0,0,0,0,0,0,0,0,0
JONNA GUSTAFSSON,1,0,0,0,0,0,0,0,0,0,0
FREDRIK JOHANSSON,1,0,0,1,0,0,0,0,100,0,0
SILJA STÖREN,2,0,1,0,0,0,0,50,0,0,0
HILLEVI LJUNGQVIST,2,0,0,0,0,1,0,0,0,0,50
HANA JURANKOVA,3,0,0,1,0,2,0,0,33,0,67
ONUR ÖZTÜRK,8938,703,782,816,908,850,8,9,9,10,10
SAMET ERKUŞ,4843,409,424,439,456,509,8,9,9,9,11
KAZIM MELİKE,4333,367,423,452,504,401,8,10,10,12,9
ZİYA MUTLU,3860,341,356,362,409,334,9,9,9,11,9
MERT ALİ SOLMAZ,3874,324,357,395,397,408,8,9,10,10,11
NİYAZİ KONUK,3238,256,271,296,263,333,8,8,9,8,10
HALİL POLAT,3589,232,306,324,376,392,6,9,9,10,11
DORUKHAN PALAUR,2548,207,187,222,214,242,8,7,9,8,9
ALPEREN OLUK (Y2)&nbsp;,1686,146,142,160,161,172,9,8,9,10,10
AHMET SOYDAN,1351,125,156,160,166,198,9,12,12,12,15
YASİN KONUK,2016,125,176,183,247,228,6,9,9,12,11
ONUR ÖZ,1936,120,134,153,161,168,6,7,8,8,9
MUHARREM OK (Y2)&nbsp;,2237,112,152,162,186,200,5,7,7,8,9
ORHAN SEPETÇİ,1266,103,108,177,166,153,8,9,14,13,12
NURİ ŞÖLEN,3227,290,303,275,283,263,9,9,9,9,8
ATA ÖZKAN,1621,200,185,195,227,214,12,11,12,14,13
MEHMET EMİN ÖZDEKLİ,1676,190,205,194,205,274,11,12,12,12,16
SEDAT ÖZÖLKE,2092,110,139,184,229,217,5,7,9,11,10
